,Terrestrial invertebrate remains,Terrestrial plant material,Unidentified organic detritus,Achnanthes lanceolata,Cocconeis placentual,Cymbella aspera,Epithemis turgida,Fragilaria vaucheriae,Frustulia rhomboides,Gomphoneis herculeana var. robusta,Gomphonema angustatum,Gomphonema parvulum,Gomphonema sp. II,Gomphonema subclavatum,Gomphonema truncatum,Melosira granulata,Navicula avenacea,Navicula placentula,Nitzschia linearis,Pinnularia borealis,Rhoicosphenia curvata,Surirella elegans,Synedra rumpens,Synedra ulna,Tabellaria flocculosa,Batrachospermum spp.,Blue-green algae,Cyclotella sp.,Oedogonium spp.,Ulothrix spp.,Unknown green algae,Ameletopsis perscitus,Amphipoda type 'purple',Aoteapsyche raruraru,Aphrophila neozelandicus,Austroperla cyrene,Austrosimulium australense,Coloburiscus humeralis,Cricotopus sp. Type 'pale',Cristaperla fimbria,Deleatidum lilli,Eukieflidriella brundini,Hudsonema amabilis,Hydora nitida,Hydraena homolaena,Hydrobiosella stenocerca,Hydrobiosis sp.,Hydrophilidae,Isopoda,Lumbriculiid type 'II',Maoridiamesia sp.,Megaleptoperla grandis,Naonella forsythii,Paracalliope fluviatalus,Podaena sp.,Potamopyrgus antipodarum,Pycnocentria evecta,Rhabdomastrix sp.,Scirtidae type 'broad',Stenoperla prasinia,Stictocladius sp.,Tanypodini sp.,Tanytarsini sp.,Tiphobiosis montana,Zelandobius confusus,Zelandoperla fenestrata,Paranephrops zelandicus,Salmo trutta,Galaxias brevipennis
Cristaperla fimbria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deleatidum lilli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Eukieflidriella brundini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudsonema amabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydora nitida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Hydraena homolaena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrobiosella stenocerca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrobiosis sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hydrophilidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
