Threshold,site,TPR,FPR
0.03,NorthCol,0,0.001658374792703151
0.03,Kyeburn,0,0.001996007984031936
0.03,Narrowdale,0,0.002331002331002331
0.03,Blackrock,0,0.002403846153846154
0.03,Healy,0,0.0025
0.03,Little,0,0.0038461538461538464
0.03,Venlaw,0,0.004918032786885246
0.03,German,0,0.007352941176470588
0.03,Broad,0.03571428571428571,0.0024600246002460025
0.03,Catlins,0.08333333333333333,0.0038684719535783366
0.059,AkatoreB,0,0
0.059,Dempsters,0,8.389261744966443e-4
0.059,Berwick,0,0.0011337868480725624
0.059,Broad,0,0.0012300123001230013
0.059,Canton,0,0.0013157894736842105
0.059,Stony,0,0.0013280212483399733
0.059,Powder,0,0.001430615164520744
0.059,Sutton,0,0.0016501650165016502
0.059,NorthCol,0,0.001658374792703151
0.059,Kyeburn,0,0.001996007984031936
0.059,Narrowdale,0,0.002331002331002331
0.059,Blackrock,0,0.002403846153846154
0.059,Healy,0,0.0025
0.059,Little,0,0.0038461538461538464
0.059,Venlaw,0,0.004918032786885246
0.059,German,0,0.007352941176470588
0.059,Catlins,0.08333333333333333,0.0038684719535783366
1.5e-05,Little,0,0.046153846153846156
1.5e-05,Dempsters,0.009615384615384616,0.01929530201342282
1.5e-05,Narrowdale,0.16666666666666666,0.2703962703962704
1.5e-05,Canton,0.25,0.06578947368421052
1.5e-05,Powder,0.36666666666666664,0.0715307582260372
1.5e-05,Berwick,0.3888888888888889,0.060090702947845805
1.5e-05,Venlaw,0.4,0.12950819672131147
1.5e-05,Stony,0.41935483870967744,0.0849933598937583
1.5e-05,Broad,0.42857142857142855,0.06642066420664207
1.5e-05,German,0.45454545454545453,0.10784313725490197
1.5e-05,Kyeburn,0.5,0.06786427145708583
1.5e-05,Catlins,0.5,0.2437137330754352
1.5e-05,Healy,0.5121951219512195,0.1925
1.5e-05,Blackrock,0.56,0.06009615384615385
1.5e-05,NorthCol,0.5909090909090909,0.05970149253731343
1.5e-05,Sutton,0.7368421052631579,0.054455445544554455
1.5e-05,AkatoreB,1,1
1.5e-06,Dempsters,0.09615384615384616,0.04865771812080537
1.5e-06,Little,0.1724137931034483,0.11538461538461539
1.5e-06,Canton,0.25,0.09736842105263158
1.5e-06,Berwick,0.3888888888888889,0.10090702947845805
1.5e-06,Stony,0.45161290322580644,0.39575033200531207
1.5e-06,Broad,0.4642857142857143,0.12177121771217712
1.5e-06,Powder,0.5,0.18454935622317598
1.5e-06,Narrowdale,0.5,0.717948717948718
1.5e-06,Venlaw,0.5333333333333333,0.23770491803278687
1.5e-06,Kyeburn,0.5357142857142857,0.11976047904191617
1.5e-06,Blackrock,0.56,0.06490384615384616
1.5e-06,NorthCol,0.5909090909090909,0.09618573797678276
1.5e-06,German,0.6060606060606061,0.19117647058823528
1.5e-06,Catlins,0.75,0.5899419729206963
1.5e-06,Healy,0.7804878048780488,0.55
1.5e-06,Sutton,0.7894736842105263,0.0627062706270627
1.5e-06,AkatoreB,1,1
1.5e-07,Dempsters,0.19230769230769232,0.08053691275167785
1.5e-07,Little,0.3103448275862069,0.16923076923076924
1.5e-07,Canton,0.375,0.29605263157894735
1.5e-07,Broad,0.4642857142857143,0.2939729397293973
1.5e-07,Berwick,0.5,0.3832199546485261
1.5e-07,Blackrock,0.56,0.16105769230769232
1.5e-07,German,0.6666666666666666,0.30637254901960786
1.5e-07,NorthCol,0.6818181818181818,0.538971807628524
1.5e-07,Kyeburn,0.7142857142857143,0.3712574850299401
1.5e-07,Venlaw,0.8,0.4852459016393443
1.5e-07,Powder,0.8,0.5221745350500715
1.5e-07,Sutton,0.8421052631578947,0.19141914191419143
1.5e-07,Stony,0.8709677419354839,0.8711819389110226
1.5e-07,Healy,0.9512195121951219,0.8975
1.5e-07,Catlins,1,0.8955512572533849
1.5e-07,Narrowdale,1,0.9417249417249417
1.5e-07,AkatoreB,1,1
1.5e-08,Dempsters,0.40384615384615385,0.13506711409395974
1.5e-08,Little,0.5862068965517241,0.26153846153846155
1.5e-08,Berwick,0.7222222222222222,0.8231292517006803
1.5e-08,Broad,0.7857142857142857,0.7269372693726938
1.5e-08,Canton,0.8333333333333334,0.7934210526315789
1.5e-08,German,0.8787878787878788,0.6274509803921569
1.5e-08,Kyeburn,0.8928571428571429,0.7624750499001997
1.5e-08,Blackrock,0.92,0.6514423076923077
1.5e-08,Sutton,0.9473684210526315,0.6089108910891089
1.5e-08,NorthCol,0.9545454545454546,0.9187396351575456
1.5e-08,Venlaw,1,0.7950819672131147
1.5e-08,Powder,1,0.8798283261802575
1.5e-08,Catlins,1,0.9922630560928434
1.5e-08,Healy,1,0.9975
1.5e-08,Narrowdale,1,0.9976689976689976
1.5e-08,AkatoreB,1,1
1.5e-08,Stony,1,1
1.5e-09,Dempsters,0.5096153846153846,0.19463087248322147
1.5e-09,Little,0.6896551724137931,0.28076923076923077
1.5e-09,Broad,0.9285714285714286,0.971709717097171
1.5e-09,Berwick,0.9444444444444444,0.9909297052154195
1.5e-09,Kyeburn,0.9642857142857143,0.9780439121756487
1.5e-09,German,1,0.8897058823529411
1.5e-09,Blackrock,1,0.9591346153846154
