Threshold,site,TPR,FPR
5.9e-05,Catlins,0.5,0.13152804642166344
5.9e-05,Sutton,0.5789473684210527,0.0462046204620462
5.9e-05,NorthCol,0.5909090909090909,0.05306799336650083
5.9e-05,AkatoreB,1,1
5.9e-06,Dempsters,0.019230769230769232,0.03355704697986577
5.9e-06,Little,0.10344827586206896,0.09230769230769231
5.9e-06,Canton,0.25,0.06578947368421052
5.9e-06,Narrowdale,0.3333333333333333,0.4755244755244755
5.9e-06,Powder,0.36666666666666664,0.0844062947067239
5.9e-06,Berwick,0.3888888888888889,0.07142857142857142
5.9e-06,Stony,0.41935483870967744,0.16201859229747675
5.9e-06,Broad,0.4642857142857143,0.0959409594095941
5.9e-06,Kyeburn,0.5,0.07784431137724551
5.9e-06,Catlins,0.5,0.36363636363636365
5.9e-06,Venlaw,0.5333333333333333,0.15737704918032788
5.9e-06,Blackrock,0.56,0.06490384615384616
5.9e-06,German,0.5757575757575758,0.14215686274509803
5.9e-06,NorthCol,0.5909090909090909,0.06135986733001658
5.9e-06,Healy,0.6585365853658537,0.305
5.9e-06,Sutton,0.7894736842105263,0.056105610561056105
5.9e-06,AkatoreB,1,1
5.9e-07,Dempsters,0.11538461538461539,0.05704697986577181
5.9e-07,Little,0.20689655172413793,0.12692307692307692
5.9e-07,Canton,0.25,0.12368421052631579
5.9e-07,Berwick,0.3888888888888889,0.14058956916099774
5.9e-07,Broad,0.4642857142857143,0.16851168511685116
5.9e-07,Blackrock,0.56,0.07451923076923077
5.9e-07,Powder,0.6,0.2703862660944206
5.9e-07,Stony,0.6129032258064516,0.5949535192563081
5.9e-07,NorthCol,0.6363636363636364,0.20398009950248755
5.9e-07,Kyeburn,0.6428571428571429,0.19161676646706588
5.9e-07,German,0.6666666666666666,0.22303921568627452
5.9e-07,Venlaw,0.6666666666666666,0.3016393442622951
5.9e-07,Sutton,0.7894736842105263,0.0858085808580858
5.9e-07,Healy,0.8048780487804879,0.715
5.9e-07,Narrowdale,0.8333333333333334,0.8181818181818182
5.9e-07,Catlins,1,0.746615087040619
5.9e-07,AkatoreB,1,1
5.9e-08,Dempsters,0.25961538461538464,0.09144295302013423
5.9e-08,Little,0.3793103448275862,0.19230769230769232
5.9e-08,Berwick,0.5555555555555556,0.5782312925170068
5.9e-08,Blackrock,0.64,0.2980769230769231
5.9e-08,Broad,0.6428571428571429,0.46371463714637146
5.9e-08,German,0.696969696969697,0.4362745098039216
5.9e-08,Canton,0.75,0.45394736842105265
5.9e-08,Kyeburn,0.75,0.5189620758483033
5.9e-08,Venlaw,0.8,0.601639344262295
5.9e-08,Sutton,0.8421052631578947,0.334983498349835
5.9e-08,NorthCol,0.8636363636363636,0.7446102819237148
5.9e-08,Stony,0.9354838709677419,0.9575033200531209
5.9e-08,Powder,0.9666666666666667,0.6680972818311874
5.9e-08,Healy,1,0.9625
5.9e-08,Catlins,1,0.9671179883945842
5.9e-08,Narrowdale,1,0.9790209790209791
5.9e-08,AkatoreB,1,1
5.9e-09,Dempsters,0.47115384615384615,0.1610738255033557
5.9e-09,Little,0.6551724137931034,0.2692307692307692
5.9e-09,Berwick,0.8888888888888888,0.9421768707482994
5.9e-09,Canton,0.9166666666666666,0.8881578947368421
5.9e-09,Broad,0.9285714285714286,0.8610086100861009
5.9e-09,Blackrock,0.96,0.8365384615384616
5.9e-09,Kyeburn,0.9642857142857143,0.8782435129740519
5.9e-09,German,0.9696969696969697,0.7475490196078431
5.9e-09,Sutton,1,0.8283828382838284
5.9e-09,Venlaw,1,0.8868852459016393
5.9e-09,Powder,1,0.9542203147353362
5.9e-09,NorthCol,1,0.9734660033167496
5.9e-09,Healy,1,0.9975
5.9e-09,AkatoreB,1,1
5.9e-09,Catlins,1,1
5.9e-09,Narrowdale,1,1
5.9e-09,Stony,1,1
5.9e-10,Dempsters,0.5673076923076923,0.24412751677852348
5.9e-10,Little,0.6896551724137931,0.2846153846153846
5.9e-10,Kyeburn,0.9642857142857143,0.9960079840319361
5.9e-10,German,1,0.9534313725490197
5.9e-10,Broad,1,0.9876998769987699
5.9e-10,Blackrock,1,0.9879807692307693
5.9e-10,Venlaw,1,0.9901639344262295
5.9e-10,Sutton,1,0.9983498349834984
5.9e-10,AkatoreB,1,1
5.9e-10,Berwick,1,1
5.9e-10,Canton,1,1
5.9e-10,Catlins,1,1
5.9e-10,Healy,1,1
5.9e-10,Narrowdale,1,1
5.9e-10,NorthCol,1,1
5.9e-10,Powder,1,1
5.9e-10,Stony,1,1
5.9e-11,Dempsters,0.6826923076923077,0.4236577181208054
5.9e-11,Little,0.7931034482758621,0.5692307692307692
5.9e-11,AkatoreB,1,1
5.9e-11,Berwick,1,1
5.9e-11,Blackrock,1,1
5.9e-11,Broad,1,1
5.9e-11,Canton,1,1
5.9e-11,Catlins,1,1
5.9e-11,German,1,1
5.9e-11,Healy,1,1
5.9e-11,Kyeburn,1,1
5.9e-11,Narrowdale,1,1
5.9e-11,NorthCol,1,1
5.9e-11,Powder,1,1
5.9e-11,Stony,1,1
5.9e-11,Sutton,1,1
5.9e-11,Venlaw,1,1
5.9e-12,Dempsters,0.875,0.7348993288590604
5.9e-12,Little,1,0.95
5.9e-12,AkatoreB,1,1
5.9e-12,Berwick,1,1
5.9e-12,Blackrock,1,1
5.9e-12,Broad,1,1
5.9e-12,Canton,1,1
5.9e-12,Catlins,1,1
5.9e-12,German,1,1
5.9e-12,Healy,1,1
5.9e-12,Kyeburn,1,1
5.9e-12,Narrowdale,1,1
5.9e-12,NorthCol,1,1
5.9e-12,Powder,1,1
5.9e-12,Stony,1,1
5.9e-12,Sutton,1,1
5.9e-12,Venlaw,1,1
5.9e-13,Dempsters,0.9711538461538461,0.9538590604026845
5.9e-13,AkatoreB,1,1
5.9e-13,Berwick,1,1
5.9e-13,Blackrock,1,1
5.9e-13,Broad,1,1
5.9e-13,Canton,1,1
5.9e-13,Catlins,1,1
5.9e-13,German,1,1
5.9e-13,Healy,1,1
5.9e-13,Kyeburn,1,1
5.9e-13,Little,1,1
5.9e-13,Narrowdale,1,1
5.9e-13,NorthCol,1,1
5.9e-13,Powder,1,1
5.9e-13,Stony,1,1
5.9e-13,Sutton,1,1
5.9e-13,Venlaw,1,1
