site,taxa,no.m2,avg.mm.BL
Kyeburn,Paroxyethira eatoni/hintoni,6.47,2.25
Kyeburn,Podonomidae,19.41,2.25
Kyeburn,Polyped type,47.44,2.909090909
Kyeburn,Psilachorema,12.94,6.25
Kyeburn,Scirtidae broad (larvae),6.47,4
Kyeburn,Scirtidae skinny (larvae),60.37,3.153846154
Kyeburn,Tanypod new,2.16,Unknown
Kyeburn,Tanytars type,81.94,3.227272727
Kyeburn,Zelandoperla sp.,47.44,2.6
Kyeburn,Zelandoperla/Acroperla,15.09,3.833333333
Little,A. diversus,3.15,NA
Little,Amphipoda,3.15,NA
Little,Aoteapsyche,50.44,3.857142857
Little,Atalophlebioides,18.92,6.25
Little,Australense,681,2.461956522
Little,Chironomid-slant-eye,6.31,2
Little,Costachorema xanthoptera,25.22,7.666666667
Little,Deleatidium,4218.44,3.757988166
Little,Diamesid-blnd,1513.34,3.116972477
Little,Diamesid-brown-0range,3.15,4.5
Little,Elmidae adult,53.6,3.583333333
Little,Elmidae larva,327.89,4.909090909
Little,Ephydrella,6.31,5.5
Little,Eriopterini,762.98,5.861111111
Little,Eukief-shiny-blk,800.81,2.707446809
Little,Hydrobiosidae,18.92,NA
Little,Hydrobiosis parumbripennis,97.74,10.61111111
Little,Hydrobiosis silvicola/clavigera,22.07,4
Little,Molophilus,22.07,3.833333333
Little,Muscidae,44.14,14.75
Little,Oligochaeta type i,1201.22,2.514124294
Little,Oligochaeta type ii,157.64,10.85
Little,Ortho-blu-blk,78.82,2.428571429
Little,Ortho-blu-blnd,9.46,3
Little,Oxyethira albeceps,85.13,2.115384615
Little,Polyped type,75.67,4.375
Little,Potamopyrgus,3.15,NA
Little,Psilachorema,22.07,NA
Little,Tanypode new,12.61,3
Little,Tanytars type,94.58,2.576923077
Stony,Acroperla,18.55,4.5
Stony,Amphipoda,6.18,NA
Stony,Aoteapsyche,27.82,2.125
Stony,Aphrophila,95.82,5.4
Stony,Archicauliodes,3.09,NA
Stony,Austroperla,43.28,4.166666667
Stony,Austrosimulium,151.46,2.017857143
Stony,Blunt blk ortho,98.92,2.285714286
Stony,Ceratopogonidae,12.36,6
Stony,Chironomid new sp.,3.09,NA
Stony,Coloburiscus,111.28,5.205882353
Stony,Costachorema,151.46,4.023809524
Stony,Deleatidium,519.31,3.244047619
Stony,Diamesid blnd,843.88,2.716666667
Stony,Diamesid br or,43.28,2.25
Stony,Dipteran,3.09,7
Stony,Elmid larva,49.46,6.5
Stony,Empididae,21.64,4.333333333
Stony,Eukief,315.29,1.692307692
Stony,Helicopsyche,49.46,2.6875
Stony,Hudsonema,309.11,4.736111111
Stony,Hydrobiosidae,18.55,2
Stony,Hydrobiosis parumbripennis,6.18,NA
Stony,Larsia,9.27,NA
Stony,Megaleptoperla diminuta,74.19,2.642857143
Stony,Nesameletus,3.09,NA
Stony,Oligo I,24.73,7.428571429
Stony,Oligo II,1088.07,2.443243243
Stony,Olinga,188.56,2.525
Stony,Orchymontia,34,2
Stony,Ortho blu blk,3829.9,2.119170984
Stony,Ortho blu blnd,738.78,2.383838384
Stony,Oxyethira,117.46,1.944444444
Stony,Philorheithrus agilis,3.09,NA
Stony,Podaena,3.09,NA
Stony,Polyped,12.36,4
Stony,Potamopyrgus,86.55,2.428571429
Stony,Psilochorema,129.83,4
Stony,Pycnocentria,27.82,2.125
Stony,Pycnocentrodes,404.94,2.117647059
Stony,Scirtid broad,3.09,5
Stony,Scirtid skinny,6.18,3.25
Stony,Slant-eye,9.27,2
Stony,Tanytars,80.37,2.318181818
Stony,Tiphobiosis,46.37,5.3125
Stony,Tipulid,3.09,4
Sutton,Aoteapsyche spp.,89.85,4.21125
Sutton,Aphrophila noevaezelandia,71.88,3.583333333
Sutton,Archicauliodes.diversus,8.98,10
Sutton,Austroclima,53.91,2.25
Sutton,Austrosimulium.australense,110.81,2.912162162
Sutton,Brundin,29.95,7
Sutton,Ceratopogonidae,2.99,7
Sutton,Chironomous,11.98,2
Sutton,Coloburiscus.humeralis,101.83,6.353920588
Sutton,Costachorema,2.99,4.5
