card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
15577,3,1996,Taieri R,743.57,Prices Creek,1530,doco,i42,2294400,5544300,440,149,efp,30,1,galano,c,,40,100,14039312
15578,3,1996,Taieri R,743.59,Horse Burn,1430,doco,i42,2297700,5547800,380,152,efp,80,1,galdep,c,,40,90,14037955
15585,10,1992,Taieri R,743.648,Healy Creek,930,uoo,i41,2299300,5576800,860,197,efp,25,1,galdep,,19,37,103,14024161
15586,12,1992,Taieri R,743.648,Healy Creek,900,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,84,38,94,14024161
15587,3,1993,Taieri R,743.648,Healy Creek,900,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,72,23,94,14024161
15593,6,1993,Taieri R,743.648,Healy Creek,930,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,67,30,95,14024161
15594,10,1993,Taieri R,743.648,Healy Creek,930,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,45,34,98,14024161
15595,1,1994,Taieri R,743.648,Healy Creek,1000,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,35,42,94,14024161
15596,4,1994,Taieri R,743.648,Healy Creek,930,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,17,40,94,14024161
15597,12,1994,Taieri R,743.648,Healy Creek,1000,uoo,i41,2299300,5576800,860,197,efp,50,3,galdep,,15,53,91,14024161
15598,1,1992,Taieri R,743.648,Healy Creek,800,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,21,52,110,14024373
15599,6,1992,Taieri R,743.648,Healy Creek,1000,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,9,57,109,14024373
15600,12,1992,Taieri R,743.648,Healy Creek,1300,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,8,80,106,14024373
15601,10,1995,Taieri R,743,Unnamed wetland,night,doco,i45,2292300,5455200,15,3,gmt,6,,nospec,,0,,,14066527
15602,6,1995,Taieri R,743,Taieri River tributary,840,doco,i45,2291300,5458600,10,3,gmt,4,,nospec,,0,,,14065835
15603,6,1995,Taieri R,743,Taieri River tributary,night,doco,i45,2291600,5458900,4,2,gmt,5,,nospec,,0,,,14065860
15604,3,1995,Taieri R,743.238,Emerald Creek,1400,doco,i43,2308000,5524600,500,130,efp,60,1,galdep,a,,25,80,14047244
15604,3,1995,Taieri R,743.238,Emerald Creek,1400,doco,i43,2308000,5524600,500,130,efp,60,1,parane,a,,,,14047244
15610,8,1994,Taieri R,743.05,Mary Hill Stream,950,doco,h45,2281700,5461600,5,19,utt,2,,galmac,,154,50,95,14065274
15615,12,1994,Taieri R,743.05,Lake Waihola tributary,night,doco,h45,2281400,5460800,2,19,utt,2,,gobcot,,3,60,70,14065339
15615,12,1994,Taieri R,743.05,Lake Waihola tributary,night,doco,h45,2281400,5460800,2,19,utt,2,,galmac,,4,150,,14065339
15616,12,1994,Taieri R,743.05,Lake Waihola tributary,night,doco,h45,2280600,5459800,2,21,utt,2,,galmac,,4,60,160,14065664
15616,12,1994,Taieri R,743.05,Lake Waihola tributary,night,doco,h45,2280600,5459800,2,21,utt,2,,gobcot,,2,50,60,14065664
15617,12,1992,Taieri R,743.09,Whare Creek,1400,uoo,i44,2312300,5485600,340,52,han,,,galeld,c,,30,150,14058877
15618,12,1992,Taieri R,743.648,Healy Creek,1000,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,185,59,101,14023208
15619,3,1993,Taieri R,743.648,Healy Creek,1500,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,87,40,94,14023208
15620,6,1993,Taieri R,743.648,Healy Creek,1300,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,64,41,106,14023208
15621,12,1993,Taieri R,743.648,Healy Creek,1400,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,96,49,103,14023208
15622,1,1994,Taieri R,743.648,Healy Creek,1300,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,95,51,108,14023208
15623,12,1994,Taieri R,743.648,Healy Creek,1000,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,72,60,103,14023208
15624,1,1992,Taieri R,743.648,Healy Creek,1000,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,22,61,105,14024161
15625,6,1992,Taieri R,743.648,Healy Creek,1130,uoo,i41,2299300,5576800,860,197,efp,55,3,galdep,,40,35,92,14024161
15626,3,1996,Taieri R,743.25,Sutton Stream tributary,1130,doco,h43,2277800,5511200,420,112,efp,15,1,saltru,r,,30,150,14051021
15627,3,1996,Taieri R,743.25,Sutton Stream tributary,1145,doco,h43,2278200,5510500,360,111,efp,20,1,saltru,,1,100,,14051609
15628,3,1996,Taieri R,743,Spratts Creek,1330,doco,h43,2284400,5512100,190,96,efp,15,2,angdie,,1,1000,,14051122
15628,3,1996,Taieri R,743,Spratts Creek,1330,doco,h43,2284400,5512100,190,96,efp,15,2,galano,,5,50,80,14051122
15629,3,1996,Taieri R,743.865,McHardies Creek tributary,1630,doco,h43,2273300,5517500,910,253,efp,20,1,galdep,o,,30,60,14049383
15636,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1000,doco,h44,2270900,5480300,400,52,efp,10,1,galbre,c,,,,14060902
15637,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1100,doco,h44,2271400,5480100,400,52,efp,10,1,galbre,a,,30,150,14060967
15638,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1145,doco,h44,2272400,5479700,400,50,efp,8,1,galbre,c,,,,14061055
15639,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1315,doco,h44,2273500,5476100,395,46,efp,10,1,saltru,a,,,,14061914
15639,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1315,doco,h44,2273500,5476100,395,46,efp,10,1,parane,r,,,,14061914
15639,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1315,doco,h44,2273500,5476100,395,46,efp,10,1,gobcot,r,,,,14061914
15640,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1330,doco,h44,2272700,5474500,420,48,efp,10,1,saltru,c,,30,100,14062283
15641,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1345,doco,h44,2272000,5475000,420,52,efp,10,1,saltru,c,,,,14062197
15642,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1430,doco,h44,2271600,5475300,420,51,efp,20,1,galeld,o,,40,,14062196
15643,3,1996,Taieri R,743.05,Lake Mahinerangi tributary,1515,doco,h44,2270500,5475400,420,52,efp,1,1,galeld,a,,30,90,14062055
15644,3,1996,Taieri R,743.054,Pioneer Stream tributary,1540,doco,h44,2270100,5475100,430,53,efp,6,2,nospec,,0,,,14062236
15659,3,1996,Taieri R,743.054,Pioneer Stream,945,doco,h44,2263800,5479500,460,60,efp,15,1,saltru,r,,40,,14061264
15659,3,1996,Taieri R,743.054,Pioneer Stream,945,doco,h44,2263800,5479500,460,60,efp,15,1,parane,c,,,,14061264
15663,3,1996,Taieri R,743.05,Waipori River tributary,1230,doco,h44,2256300,5481400,460,69,efp,40,1,galbre,,3,50,80,14060594
15663,3,1996,Taieri R,743.05,Waipori River tributary,1230,doco,h44,2256300,5481400,460,69,efp,40,1,salfon,,25,30,150,14060594
15663,3,1996,Taieri R,743.05,Waipori River tributary,1230,doco,h44,2256300,5481400,460,69,efp,40,1,saltru,,4,30,120,14060594
15664,3,1996,Taieri R,743.05,Waipori River tributary,1315,doco,h44,2256300,5481300,480,69,efp,30,1,galbre,,3,60,215,14060595
15664,3,1996,Taieri R,743.05,Waipori River tributary,1315,doco,h44,2256300,5481300,480,69,efp,30,1,salfon,,3,,,14060595
15665,3,1996,Taieri R,743.05,Waipori River tributary,1340,doco,h44,2255400,5481500,480,70,efp,30,1,saltru,c,,40,180,14060559
15665,3,1996,Taieri R,743.05,Waipori River tributary,1340,doco,h44,2255400,5481500,480,70,efp,30,1,parane,r,,,,14060559
15666,3,1996,Taieri R,743.05,Waipori River tributary,1400,doco,h44,2255300,5481400,490,70,efp,50,1,galpul,,5,30,90,14060559
15666,3,1996,Taieri R,743.05,Waipori River tributary,1400,doco,h44,2255300,5481400,490,70,efp,50,1,galbre,,1,133,,14060559
15667,3,1996,Taieri R,743.865,McHardies Creek tributary,1045,doco,h43,2272300,5517500,880,253,efp,30,1,saltru,c,13,30,250,14049197
15668,3,1996,Taieri R,743.865,McHardies Creek tributary,1145,doco,h43,2272600,5518400,940,254,efp,10,1,saltru,o,,30,40,14048933
15669,3,1996,Taieri R,743.865,McHardies Creek tributary,1300,doco,h43,2272700,5517300,880,253,efp,8,1,nospec,,0,,,14049495
15670,3,1996,Taieri R,743.865,McHardies Creek,1315,doco,h43,2273000,5516800,890,253,efp,30,1,saltru,o,,100,250,14049531
15671,3,1996,Taieri R,743.865,McHardies Creek,1350,doco,h43,2273600,5516800,900,254,efp,40,1,saltru,r,,30,100,14049531
15672,3,1996,Taieri R,743.865,McHardies Creek,1445,doco,h43,2274500,5517400,930,255,efp,15,1,saltru,c,,30,120,14049483
15673,3,1996,Taieri R,743.865,McHardies Creek,1530,doco,h43,2274600,5517300,940,255,efp,20,1,saltru,o,,30,100,14049484
15674,3,1996,Taieri R,743.25,Sutton Stream tributary,945,doco,h43,2282500,5508500,220,97,efp,10,1,saltru,o,,30,50,14052210
15675,3,1996,Taieri R,743.25,Sutton Stream tributary,1030,doco,h43,2278100,5511500,410,112,efp,15,1,saltru,o,,30,50,14051359
15826,2,1992,Taieri R,743.81,Linn Burn,1600,uoo,h43,2255200,5528600,1120,230,efp,8,2,galdep,,,80,110,14045933
