consumer,resource,source.id,res.order,res.family,res.genus,res.method,con.order,con.family,con.genus,con.method,linkevidence
Aoteapsyche,Oligochaeta,Catlins,Oligochaeta,NA,NA,order,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Deleatidium,Canton,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Chironominae,DempstersSp,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Oniscigaster,Dempsters,Ephemeroptera,Oniscigastridae,Oniscigaster,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Orthocladiinae,Kyeburn,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Amphipoda,Blackrock,Amphipoda,NA,NA,order,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Deleatidium,Venlaw,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Orthocladiinae,Healy,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Philorheithrus,Dempsters,Trichoptera,Philorheithridae,Philorheithrus,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Zelandoperla,Kyeburn,Plecoptera,Gripopterygidae,Zelandoperla,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Oligochaeta,Powder,Oligochaeta,NA,NA,order,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Deleatidium,Powder,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Cristaperla,Catlins,Plecoptera,Notonemuridae',Cristaperla,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Hydrobiosis,Canton,Trichoptera,Hydrobiosidae,Hydrobiosis,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Pirara,Blackrock,Diptera,Chironomidae,Pirara,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Chironominae,Sutton,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Deleatidium,NorthCol,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Orthocladiinae,Blackrock,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Olinga,Healy,Trichoptera,Conoesucidae,Olinga,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Austrosimulium,Sutton,Diptera,Simuliidae,Austrosimulium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Orthocladiinae,Powder,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Zelandoperla,Powder,Plecoptera,Gripopterygidae,Zelandoperla,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Deleatidium,Dempsters,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Oligochaetae,Blackrock,Oligochaetae,NA,NA,order,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Orthocladiinae,Dempsters,Diptera,Chironomidae,NA,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Oligochaetae,Catlins,Oligochaetae,NA,NA,order,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Austrosimulium,Healy,Diptera,Simuliidae,Austrosimulium,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Pirara,Healy,Diptera,Chironomidae,Pirara,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Hydrobiosella,Dempsters,Trichoptera,Philopotamidae,Hydrobiosella,genus,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aoteapsyche,Pirara,Dempsters,Diptera,Chironomidae,Pirara,family,Trichoptera,Hydropsychidae,Aoteapsyche,genus,direct
Aphrophila,Orthocladiinae,Dempsters,Diptera,Chironomidae,NA,family,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Orthocladiinae,Powder,Diptera,Chironomidae,NA,family,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Oligochaetae,Berwick,Oligochaetae,NA,NA,order,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Amphipoda,Venlaw,Amphipoda,NA,NA,order,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Deleatidium,Powder,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Chironominae,Sutton,Diptera,Chironomidae,NA,family,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Deleatidium,Dempsters,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Diptera,Tipulidae,Aphrophila,genus,direct
Aphrophila,Orthocladiinae,Blackrock,Diptera,Chironomidae,NA,family,Diptera,Tipulidae,Aphrophila,genus,direct
Archichauliodes,Hydora.adult,Healy,Coleoptera,Elmidae,Hydora.adult,genus,Megaloptera,Corydalidae,Archichauliodes,genus,direct
Archichauliodes,Orthocladiinae,Kyeburn,Diptera,Chironomidae,NA,family,Megaloptera,Corydalidae,Archichauliodes,genus,direct
Archichauliodes,Tiphobiosis,Dempsters,Trichoptera,Hydrobiosidae,Tiphobiosis,genus,Megaloptera,Corydalidae,Archichauliodes,genus,direct
Archichauliodes,Chironominae,DempstersSp,Diptera,Chironomidae,NA,family,Megaloptera,Corydalidae,Archichauliodes,genus,direct
Archichauliodes,Austrosimulium,Healy,Diptera,Simuliidae,Austrosimulium,genus,Megaloptera,Corydalidae,Archichauliodes,genus,direct
Archichauliodes,Oligochaeta,Powder,Oligochaeta,NA,NA,order,Megaloptera,Corydalidae,Archichauliodes,genus,direct
