ORDER,GROUP_CJP,Label_CJP,Name,ln_a,b,base,CJP_notes,notes
Coleoptera,Coleoptera,Elmidae larvae,Scirtidae,-6.0784,3.092,2.718281828,,Elmidae larvae formula
Coleoptera,Coleoptera,Scirtidae,Scirtidae,-6.0784,3.092,2.718281828,,Elmidae larvae formula
Plecoptera,Plecoptera,Gen Plecoptera,Spaniocerca,-4.4451,2.5044,2.718281828,,Gen Plecoptera; Towers et al. 2004
Plecoptera,Plecoptera,Gen Plecoptera,Spaniocercoides,-4.4451,2.5044,2.718281828,,Gen Plecoptera; Towers et al. 2004
Plecoptera,Plecoptera,Stenoperla,Stenoperla,-6.835,1.343,2.718282,,Towers et al. 2004
Diptera,Diptera,Chironomidae,Tanypodinae,-3.8757,2.7206,2.718281828,,"chironominae, general"
Plecoptera,,,Taraperla,-4.4451,2.5044,2.718281828,,Gen Plecoptera; Towers et al. 2004
Diptera,,,Tipulidae,-2.8777,1.2445,2.718281828,,Gen Diptera; Towers et al. 2004
Plecoptera,Plecoptera,Zelandobius,Zelandobius,-3.2054,1.7354,2.718281828,,TL & HW switched in Towers
Plecoptera,Plecoptera,Zelandoperla,Zelandoperla,-2.3001,1.7333,2.718282,,Towers et al. 2004
Trichoptera,Trichoptera,Gen Trichoptera,Zelolessica,-4.894,2.4364,2.718281828,cased,gen Tricop
Trichoptera,Trichoptera,Zelolessica,Zelolessica,-4.894,2.4364,2.718281828,cased,gen Tricop
Ephemeroptera,Ephemeroptera,Zephlebia,Zephlebia,-4.3066,2.5252,2.718282,,
,,,Salmo.trutta,-5.639407,3.05,10,,brown trou; Jellyman 2013
,,,Anguilla.australis,-7.523024,3.481,10,,Shortfin eel; Jellyman 2013
,,,Gobiomorphus.breviceps,-6.666553,3.616,10,,upland bully; Jellyman 2013
,,,Gobiomorphus.cotidianus,-6.110923,3.297,10,,common bully; Jellyman 2013
,,,Gobiomorphus.gobiodes,-6.911155,3.712,10,,giant bully
,,,Gobiomorphus.hubbsi,-5.824488,3.078,10,,bluegill bully
,,,Galaxias.brevipinnis,-7.853872,1.082,10,,Koaro
,,,Galaxias.maculatus,-6.910448,3.473,10,,inanga
