consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Hydrobiosis parumbripennis,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis parumbripennis,genus,,9
Archichauliodes diversus,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Paranephrops zealandicus,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,15
Anguilla dieffenbachii,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,15
Cheimarrichthys fosteri,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Cheimarrichthyidae,,Cheimarrichthys,Cheimarrichthys fosteri,species,,15
Gobiomorphus breviceps,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,,15
Gobiomorphus huttoni,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus huttoni,genus,,15
Gobiomorphus huttoni,Deleatidium,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus huttoni,genus,,15
Aoteapsyche colonica,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,,8
Oeconesus similis,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,Oeconesus similis,genus,,8
Philanis plebeius,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Chathamidae,,Philanis,Philanis plebeius,genus,,8
Pycnocentrodes aeris,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,Pycnocentrodes aeris,genus,,8
Pycnocentrodes aureola,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,Pycnocentrodes aureola,genus,,8
Triplectides obsoleta,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Triplectides,Triplectides obsoleta,genus,,8
Zelolessica cheira,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Helicophidae,,Zelolessica,Zelolessica cheira,genus,,8
Hydrobiosis parumbripennis,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis parumbripennis,genus,,9
Hydropsyche colonica,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,Hydropsyche colonica,genus,,9
Archichauliodes diversus,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Aphrophila neozelandica,Detritus,Detritus,Detritus,,,,,order,Invertebrate,Diptera,Tipulidae,,Aphrophila,Aphrophila neozelandica,genus,,17
Stenoperla,Diamesinae,Invertebrate,Diptera,Chironomidae,Diamesinae,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,2
Stenoperla,Diamesinae,Invertebrate,Diptera,Chironomidae,Diamesinae,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,4
Galaxias argenteus,Diaprepocoris zealndiae,Invertebrate,Hemiptera,Corixidae,,Diaprepocoris,Diaprepocoris zealndiae,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Acanthophlebia,Diatom,Diatom,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Acanthophlebia,,genus,direct,4
Aoteapsyche,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,direct,4
Aphrophila,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,direct,4
Archichauliodes,Diatom,Diatom,,,,,,category,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,4
Austroperla,Diatom,Diatom,,,,,,category,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,,genus,direct,4
Austrosimulium,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,direct,4
Chironomidae,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Chironomidae,,,,family,direct,4
Coloburiscus,Diatom,Diatom,,,,,,category,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,direct,4
Deleatidium,Diatom,Diatom,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,direct,4
Diamesinae,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Chironomidae,Diamesinae,,,subfamily,direct,4
Elmidae,Diatom,Diatom,,,,,,category,Invertebrate,Coleoptera,Elmidae,,Hydora.larvae,,genus,direct,4
Eriopterini,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Tipulidae,,Eriopterini,,genus,direct,4
Hydrobiosella,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,direct,4
Hydrophilidae,Diatom,Diatom,,,,,,category,Invertebrate,Coleoptera,Hydrophilidae,,,,family,direct,4
Orthopsyche,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Orthopsyche,,genus,direct,4
Platyhelminthes,Diatom,Diatom,,,,,,category,Invertebrate,Platyhelminthes,,,,,order,direct,4
Polyplectropus,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,direct,4
Ptylidactylidae,Diatom,Diatom,,,,,,category,Invertebrate,Coleoptera,Ptylidactylidae,,,,family,direct,4
Pycnocentria,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,,genus,direct,4
Pycnocentrodes,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,,genus,direct,4
Tanypodinae,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Chironomidae,Tanypodinae,,,subfamily,direct,4
Zelandobius,Diatom,Diatom,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandobius,,genus,direct,4
Zelandoperla,Diatom,Diatom,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,,genus,direct,4
Zephlebia,Diatom,Diatom,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Zephlebia,,genus,direct,4
Aoteapsyche colonica,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,,8
Pycnocentrodes aeris,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,Pycnocentrodes aeris,genus,,8
Austroperla cyrene,Diatom,Diatom,,,,,,category,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,Austroperla cyrene,genus,,16
Deleatidium,Diatom,Diatom,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,,16
Nesameletus ornatus,Diatom,Diatom,,,,,,category,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,Nesameletus ornatus,genus,,16
Olinga feredayi,Diatom,Diatom,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,,16
Spaniocerca zelandica,Diatom,Diatom,,,,,,category,Invertebrate,Plecoptera,Notonemouridae,,Spaniocerca,Spaniocerca zelandica,genus,,16
Zelandoperla agnetis,Diatom,Diatom,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,Zelandoperla agnetis,genus,,16
Aphrophila neozelandica,Diatom,Diatom,,,,,,category,Invertebrate,Diptera,Tipulidae,,Aphrophila,Aphrophila neozelandica,genus,,17
Galaxias vulgaris,Elmidae,Invertebrate,Coleoptera,Elmidae,,,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Archichauliodes diversus,Elmidae,Invertebrate,Coleoptera,Elmidae,,,,family,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Elmidae,Invertebrate,Coleoptera,Elmidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Aoteapsyche colonica,Ephemeroptera,Invertebrate,Ephemeroptera,,,,,order,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,,8
Anguilla,Eukiefferiella,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Gobiomorphus,Eukiefferiella,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Eukiefferiella,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Paranephrops zealandicus,Eukiefferiella,Invertebrate,Diptera,Chironomidae,Orthocladiinae,,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Deleatidium,Eunotia,Diatom,Eunotiales,Eunotiaceae,,Eunotia,,genus,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,direct,2
Aoteapsyche colonica,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche colonica,genus,,8
Austroperla cyrene,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,Austroperla cyrene,genus,,16
Coloburiscus humeralis,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,Coloburiscus humeralis,genus,,16
Nesameletus ornatus,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,Nesameletus ornatus,genus,,16
Olinga feredayi,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,,16
Spaniocercoides cowleyi,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Plecoptera,Notonemouridae,,Spaniocerca,Spaniocercoides cowleyi,genus,,16
Zelandobius confusus,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandobius,Zelandobius confusus,genus,,16
Zelandoperla agnetis,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,Zelandoperla agnetis,genus,,16
Aphrophila neozelandica,Filamentous Algae,Filamentous Algae,,,,,,category,Invertebrate,Diptera,Tipulidae,,Aphrophila,Aphrophila neozelandica,genus,,17
Acanthophlebia,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Acanthophlebia,,genus,direct,4
Aoteapsyche,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,,genus,direct,4
Aphrophila,FPOM,FPOM,,,,,,category,Invertebrate,Diptera,Tipulidae,,Aphrophila,,genus,direct,4
Archichauliodes,FPOM,FPOM,,,,,,category,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,4
Austroperla,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,,genus,direct,4
Austrosimulium,FPOM,FPOM,,,,,,category,Invertebrate,Diptera,Simuliidae,,Austrosimulium,,genus,direct,4
Chironomidae,FPOM,FPOM,,,,,,category,Invertebrate,Diptera,Chironomidae,,,,family,direct,4
Coloburiscus,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,,genus,direct,4
Diamesinae,FPOM,FPOM,,,,,,category,Invertebrate,Diptera,Chironomidae,Diamesinae,,,subfamily,direct,4
Elmidae,FPOM,FPOM,,,,,,category,Invertebrate,Coleoptera,Elmidae,,Hydora.larvae,,genus,direct,4
Eriopterini,FPOM,FPOM,,,,,,category,Invertebrate,Diptera,Tipulidae,,Eriopterini,,genus,direct,4
Hydrobiosella,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,direct,4
Orthopsyche,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Orthopsyche,,genus,direct,4
Platyhelminthes,FPOM,FPOM,,,,,,category,Invertebrate,Platyhelminthes,,,,,order,direct,4
Polyplectropus,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Polycentropidae,,Polyplectropus,,genus,direct,4
Ptylidactylidae,FPOM,FPOM,,,,,,category,Invertebrate,Coleoptera,Ptylidactylidae,,,,family,direct,4
Pycnocentrodes,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrodes,,genus,direct,4
Zelandobius,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandobius,,genus,direct,4
Zelandoperla,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,,genus,direct,4
Zephlebia,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Zephlebia,,genus,direct,4
Acanthophlebia,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Acanthophlebia,,genus,,7
Aoteapsyche raruraru,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Hydropsychidae,,Aoteapsyche,Aoteapsyche raruraru,genus,,16
Austroclima sepia,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Austroclima,Austroclima sepia,genus,,16
Austroperla cyrene,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Austroperlidae,,Austroperla,Austroperla cyrene,genus,,16
Coloburiscus humeralis,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Coloburiscidae,,Coloburiscus,Coloburiscus humeralis,genus,,16
Deleatidium,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,,16
Hydrobiosella stenocerca,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,Hydrobiosella stenocerca,genus,,16
Nesameletus ornatus,FPOM,FPOM,,,,,,category,Invertebrate,Ephemeroptera,Nesameletidae,,Nesameletus,Nesameletus ornatus,genus,,16
Olinga feredayi,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,,16
Pycnocentrella eruensis,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentrella,Pycnocentrella eruensis,genus,,16
Pycnocentria sylvestris,FPOM,FPOM,,,,,,category,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,Pycnocentria sylvestris,genus,,16
Spaniocerca zelandica,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Notonemouridae,,Spaniocerca,Spaniocerca zelandica,genus,,16
Spaniocercoides cowleyi,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Notonemouridae,,Spaniocerca,Spaniocercoides cowleyi,genus,,16
Zelandobius confusus,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandobius,Zelandobius confusus,genus,,16
Zelandoperla agnetis,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,Zelandoperla agnetis,genus,,16
Zelandoperla fenestrata,FPOM,FPOM,,,,,,category,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,Zelandoperla fenestrata,genus,,16
Deleatidium,Fragilaria,Diatom,Fragilariales,Fragilariaceae,,Fragilaria,,genus,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,direct,2
Anguilla dieffenbachii,Gobiomorphus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Gobiomorphus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Gobiomorphus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Deleatidium,Gomphonema,Diatom,Cymbellales,Gomphonemataceae,,Gomphonema,,genus,Invertebrate,Ephemeroptera,Leptophlebiidae,,Deleatidium,,genus,direct,2
Galaxias argenteus,Gyraulus corinna,Invertebrate,Mollusca,Planorbidae,,Gyraulus,Gyraulus corinna,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Gyrinus,Invertebrate,Coleoptera,Gyrinidae,,Gyrinus,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Gobiomorphus,Helicopsyche,Invertebrate,Trichoptera,Helicopyshidae,,Helicopsyche,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Helicopsyche,Invertebrate,Trichoptera,Helicopyshidae,,Helicopsyche,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Galaxias argenteus,Helicopsyche,Invertebrate,Trichoptera,Helicopyshidae,,Helicopsyche,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Helicopsyche,Invertebrate,Trichoptera,Helicopyshidae,,Helicopsyche,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias postvectis,Helicopsyche,Invertebrate,Trichoptera,Helicopyshidae,,Helicopsyche,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias postvectis,genus,,14
Archichauliodes,Homalaena,invertebrate,Coleoptera,Hydraenidae,,Homalaena,,family,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,,genus,direct,2
Galaxias,Homalaena,invertebrate,Coleoptera,Hydraenidae,,Homalaena,,family,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Homalaena,invertebrate,Coleoptera,Hydraenidae,,Homalaena,,family,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Paranephrops zealandicus,Hudsonema,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Salmo trutta,Hudsonema amabile,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema amabile,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Galaxias argenteus,Hudsonema amabilis,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema amabilis,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Stenoperla prasina,Hudsonema amabilis,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema amabilis,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Anguilla,Hydora,Invertebrate,Coleoptera,Elmidae,,Hydora,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Hydora,Invertebrate,Coleoptera,Elmidae,,Hydora,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Hydora,Invertebrate,Coleoptera,Elmidae,,Hydora,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Paranephrops zealandicus,Hydora,Invertebrate,Coleoptera,Elmidae,,Hydora,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Paranephrops zealandicus,Hydraena,Invertebrate,Coleoptera,Hydraenidae,,Hydraena,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Galaxias,Hydrobiosella,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Hydrobiosella,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Stenoperla,Hydrobiosella,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,2
Paranephrops zealandicus,Hydrobiosella,Invertebrate,Trichoptera,Philopotamidae,,Hydrobiosella,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Stenoperla,Hydrobiosidae,Invertebrate,Trichoptera,Hydrobiosidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,,genus,direct,3
Archichauliodes diversus,Hydrobiosidae,Invertebrate,Trichoptera,Hydrobiosidae,,,,family,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Hydrobiosidae,Invertebrate,Trichoptera,Hydrobiosidae,,,,family,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Anguilla,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Galaxias,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Anguilla dieffenbachii,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,direct,5
Cheimarrichthys fosteri,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Perciformes,Cheimarrichthyidae,,Cheimarrichthys,Cheimarrichthys fosteri,species,direct,5
Galaxias southern,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,5
Galaxias brevipinnis,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias brevipinnis,genus,direct,5
Galaxias vulgaris,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
Gobiomorphus breviceps,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus cotidianus,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus cotidianus,genus,direct,5
Salmo trutta,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Galaxias argenteus,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Paranephrops zealandicus,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Hydrobiosis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Archichauliodes diversus,Hydrobiosis clavigera,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis clavigera,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Hydrobiosis clavigera,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis clavigera,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Galaxias argenteus,Hydrobiosis spatulata,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis spatulata,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias argenteus,Hydrobiosis umbripennis,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,Hydrobiosis umbripennis,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Galaxias,Hydrochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Hydrochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Hydrobiosis,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Archichauliodes diversus,Hydropsyche colonica,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Stenoperla prasina,Hydropsyche colonica,Invertebrate,Trichoptera,Hydropsychidae,,Hydropsyche,,genus,Invertebrate,Plecoptera,Eustheniidae,,Stenoperla,Stenoperla prasina,genus,,10
Anguilla dieffenbachii,Hyridella,Invertebrate,Mollusca,Unionidae,,Hyridella,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
